
 Model: DeepWalk
learning rate: 0.001
average accuracy 0.06852398574352264
standard deviation 0.04238729247094497
learning rate: 0.01
average accuracy 0.06723247230052948
standard deviation 0.040718013087042745
learning rate: 0.05
average accuracy 0.07007380068302155
standard deviation 0.04422093783428378
learning rate: 0.1
average accuracy 0.07328413248062134
standard deviation 0.04841655706284044
learning rate: 0.2
average accuracy 0.07439114391803742
standard deviation 0.049829855254691795
 Model: DeepWalkWithRegularization
learning rate: 0.001
average accuracy 0.06863468647003174
standard deviation 0.04244686227206697
learning rate: 0.01
average accuracy 0.06730627238750458
standard deviation 0.04080857200661261
learning rate: 0.05
average accuracy 0.07018450200557709
standard deviation 0.04441850757768372
learning rate: 0.1
average accuracy 0.07284132778644561
standard deviation 0.0478355733517775
learning rate: 0.2
average accuracy 0.07453874588012695
standard deviation 0.05004316457804332
 Model: Ricci
learning rate: 0.001
average accuracy 0.06568265736103057
standard deviation 0.038852412779712596
learning rate: 0.01
average accuracy 0.06856088519096375
standard deviation 0.04236003817006873
learning rate: 0.05
average accuracy 0.07095941007137299
standard deviation 0.04542118363261504
learning rate: 0.1
average accuracy 0.07298892974853516
standard deviation 0.04803354513499251
learning rate: 0.2
average accuracy 0.07538745403289795
standard deviation 0.05116032075949356
 Model: GEMSECRicci
learning rate: 0.001
average accuracy 0.06889298856258393
standard deviation 0.04281016153036157
learning rate: 0.01
average accuracy 0.07055350422859191
standard deviation 0.04485485598728002
learning rate: 0.05
average accuracy 0.07129151284694672
standard deviation 0.04579672921486434
learning rate: 0.1
average accuracy 0.07416974186897278
standard deviation 0.049542490136978735
learning rate: 0.2
average accuracy 0.07523985326290131
standard deviation 0.05103876562871521
 Model: GEMSEC
learning rate: 0.001
average accuracy 0.06955719470977784
standard deviation 0.043568952195851336
learning rate: 0.01
average accuracy 0.06929889261722565
standard deviation 0.04329640895027374
learning rate: 0.05
average accuracy 0.07306272983551025
standard deviation 0.04807042285336764
learning rate: 0.1
average accuracy 0.07276752710342407
standard deviation 0.04771778088073777
learning rate: 0.2
average accuracy 0.07560885667800904
standard deviation 0.051501885317264094
 Model: GEMSECWithRegularization
learning rate: 0.001
average accuracy 0.06940959393978119
standard deviation 0.04344376963466731
learning rate: 0.01
average accuracy 0.07121771037578582
standard deviation 0.045711112742186026
learning rate: 0.05
average accuracy 0.06959409594535827
standard deviation 0.04365627370227588
learning rate: 0.1
average accuracy 0.07520295143127441
standard deviation 0.05097391838773347
learning rate: 0.2
average accuracy 0.07693727016448974
standard deviation 0.05330711156864747
